sub_id	concern_1	concern_2	concern_3	concern_4	pol	gender_c	condition_c
642	5	6	7	7	3.5	0.5	0.5
643	6	7	7	7	1	-0.5	0.5
644	7	7	7	7	1.5	0.5	0.5
645	7	5	3	5	3	0.5	0.5
646	6	6	5	6	2.5	0.5	0.5
647	4	4	4	4	3	-0.5	0.5
648	3	5	3	3	4.5	0.5	0.5
649	7	7	7	7	1.5	-0.5	0.5
650	7	7	6	6	1	NA	0.5
651	7	7	7	7	1.5	0.5	0.5
652	6	4	4	6	4	0.5	0.5
653	5	7	6	6	2.5	0.5	0.5
654	NA	7	7	7	2	0.5	0.5
655	3	4	5	5	3	-0.5	0.5
656	7	7	7	7	1.5	0.5	0.5
657	6	6	6	7	1.5	0.5	0.5
658	6	5	4	6	3	0.5	0.5
659	7	7	7	7	1	0.5	0.5
660	7	7	7	7	3.5	-0.5	0.5
661	6	7	5	6	1	0.5	0.5
662	7	7	7	7	1	-0.5	0.5
663	6	7	7	7	3.5	0.5	0.5
664	6	7	7	7	3	0.5	0.5
665	5	5	5	5	1.5	0.5	0.5
666	7	7	7	7	1	-0.5	0.5
667	4	4	4	4	3	0.5	0.5
668	6	7	7	7	1	-0.5	0.5
669	3	2	2	4	3	0.5	0.5
670	7	7	7	7	1.5	-0.5	0.5
671	7	7	7	7	1.5	0.5	0.5
672	7	7	7	7	2	0.5	0.5
674	5	4	4	6	2	-0.5	NA
675	NA	NA	NA	NA	NA	NA	NA
676	6	6	6	2	NA	NA	NA
677	7	7	6	7	1.5	0.5	NA
678	6	7	NA	7	2	-0.5	NA
679	4	5	5	3	4	-0.5	NA
680	7	7	6	7	3	-0.5	NA
681	4	5	5	5	1.5	-0.5	NA
682	5	6	5	7	3	-0.5	NA
684	7	1	3	6	3	-0.5	NA
688	7	7	7	7	NA	NA	NA
690	1	7	7	7	NA	NA	NA
691	7	7	7	6	1.5	-0.5	NA
692	6	6	6	6	3	-0.5	NA
693	5	5	4	5	3	NA	NA
694	5	5	5	6	4	0.5	NA
695	6	6	6	7	2	0.5	NA
697	5	3	1	4	4	-0.5	NA
699	NA	NA	NA	NA	NA	NA	NA
700	4	NA	5	5	NA	NA	NA
701	6	7	1	7	3	0.5	NA
706	5	6	6	7	3	-0.5	NA
707	3	2	2	4	NA	NA	NA
709	4	3	3	4	3	0.5	NA
710	4	6	6	6	3	NA	NA
713	3	7	4	7	3	0.5	NA
