id,cons1,cons2,cons3,cons4,cons5,cons6,cons7,cons8,cons9,cons10,cons11,cons12,cons13,cons14,cons15,SocialMedia,AnnoyingVariable,Age,Anx1,Anx2,Anx3,Anx4,Anx5,Gender,anes_0,anes_rep,anes_dem,anes_ind
229,3,2,1,1,1,3,2,1,1,3,2,1,1,1,3,2,1,38,3,2,1,2,3,1,2,NA,7,NA
230,4,3,3,3,4,4,3,4,3,3,4,4,4,4,5,2,1,44,1,1,1,5,5,2,1,2,NA,NA
231,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,1,1,39,4,3,4,4,4,1,3,NA,NA,5
232,2,1,2,1,2,2,2,2,1,2,2,1,2,2,3,1,1,38,3,4,3,2,2,2,2,NA,7,NA
233,3,4,3,3,2,4,4,4,3,4,2,2,4,3,3,2,1,29,3,4,2,2,2,1,2,NA,7,NA
234,4,2,1,2,2,1,1,2,2,3,1,1,1,2,3,2,1,42,1,1,2,4,4,2,2,NA,6,NA
235,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,34,1,1,3,3,4,2,1,2,NA,NA
236,4,5,4,4,5,5,4,4,5,5,5,5,4,5,5,2,1,33,3,3,3,3,2,1,3,NA,NA,5
237,4,4,4,4,2,4,4,4,5,4,4,3,4,4,4,1,1,35,1,1,1,3,5,1,2,NA,6,NA
238,2,3,2,1,1,1,1,4,1,4,2,2,3,1,3,2,1,30,2,1,1,4,4,2,2,NA,6,NA
239,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,28,2,2,4,4,3,1,2,NA,7,NA
240,2,1,1,2,2,1,1,1,2,2,2,1,1,2,3,2,1,62,1,1,1,4,4,2,1,2,NA,NA
241,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,35,1,1,1,4,4,2,3,NA,NA,4
242,2,3,1,1,2,3,3,1,1,4,3,2,1,3,4,2,1,43,3,4,3,2,1,1,2,NA,6,NA
243,4,3,3,4,1,2,2,5,1,4,4,2,4,2,4,1,1,27,3,2,3,4,2,3,3,NA,NA,5
244,4,5,4,5,5,2,2,1,2,2,4,4,4,4,4,1,1,26,1,4,2,2,1,2,2,NA,7,NA
245,4,4,5,4,4,5,4,5,5,5,5,4,5,5,4,2,1,51,1,2,1,1,4,2,2,NA,7,NA
246,4,3,2,3,4,5,4,5,4,3,4,5,4,5,3,1,1,40,5,5,3,5,5,1,1,1,NA,NA
247,2,1,1,1,2,1,1,2,1,2,1,1,1,2,4,2,1,32,2,1,2,5,3,2,3,NA,NA,4
248,3,4,1,3,4,3,2,1,1,4,4,3,2,2,4,1,1,62,1,1,1,4,5,1,2,NA,7,NA
249,4,4,2,5,5,4,3,3,4,4,4,4,3,5,4,1,1,67,3,4,3,3,3,2,1,1,NA,NA
250,3,4,4,3,3,3,4,3,3,3,3,4,4,4,4,2,1,32,5,4,2,2,2,2,1,2,NA,NA
251,4,5,4,5,4,5,4,3,4,5,4,5,5,5,5,1,1,52,3,1,5,3,3,1,3,NA,NA,5
252,3,4,2,4,4,3,4,2,3,3,3,4,2,3,4,1,1,63,1,1,1,5,5,1,3,NA,NA,3
253,3,3,4,3,4,3,1,2,4,5,3,2,3,4,5,2,1,47,3,3,5,1,2,2,3,NA,NA,4
254,3,1,1,1,1,1,1,3,1,4,2,1,3,1,3,1,1,45,4,4,4,2,2,1,2,NA,7,NA
255,4,4,4,3,3,4,4,3,2,3,4,3,2,3,3,2,1,39,3,4,3,3,2,2,2,NA,7,NA
256,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,31,4,3,2,3,3,1,1,2,NA,NA
257,4,3,4,3,3,4,4,4,3,2,3,4,2,3,3,1,1,19,2,2,4,3,4,2,3,NA,NA,3
258,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,4,3,5,2,1,1,2,NA,7,NA
259,3,4,4,2,3,4,4,3,4,2,4,4,2,3,2,2,1,28,4,3,4,2,4,1,1,2,NA,NA
260,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,63,3,3,1,4,3,2,2,NA,7,NA
261,4,5,4,3,3,4,4,3,4,4,2,2,4,4,2,2,1,34,5,5,1,2,1,2,2,NA,6,NA
262,2,1,1,2,4,2,1,2,1,3,1,1,1,2,4,2,1,19,5,4,5,1,2,1,2,NA,7,NA
263,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,2,1,42,4,4,4,4,4,2,2,NA,7,NA
264,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,36,1,1,1,5,5,2,3,NA,NA,4
265,4,4,4,5,5,5,4,4,5,5,5,5,5,5,5,2,1,39,3,3,2,2,3,2,3,NA,NA,4
266,5,4,3,3,4,5,3,5,1,4,5,3,3,5,5,1,1,31,5,3,4,1,1,2,2,NA,7,NA
267,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,28,2,1,4,4,2,2,3,NA,NA,5
268,3,2,3,3,3,3,3,4,3,3,3,2,3,3,3,2,1,29,3,2,4,5,3,1,3,NA,NA,4
269,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57,1,1,2,3,4,2,2,NA,6,NA
270,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,52,1,1,1,3,4,1,2,NA,6,NA
271,4,4,3,3,4,4,3,4,4,4,4,3,3,4,4,1,1,30,4,4,4,3,2,2,2,NA,6,NA
272,4,4,3,4,2,4,4,4,4,4,4,4,3,4,4,1,1,27,1,1,1,4,4,1,3,NA,NA,4
273,2,3,2,3,3,4,2,4,3,3,3,2,3,4,4,1,1,33,2,1,1,4,3,2,2,NA,7,NA
274,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,1,30,3,2,2,2,2,1,1,1,NA,NA
275,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,2,1,45,1,1,1,4,5,1,3,NA,NA,4
276,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,58,1,1,1,2,4,2,3,NA,NA,4
277,2,3,1,2,2,2,2,1,1,3,1,1,1,1,4,2,1,68,1,1,1,5,4,1,1,2,NA,NA
278,2,1,1,2,3,2,1,1,1,2,2,1,1,1,3,1,1,41,3,2,3,4,3,1,1,1,NA,NA
279,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,1,31,1,1,1,4,5,2,3,NA,NA,4
280,4,4,4,4,4,3,3,4,5,2,5,5,5,5,5,1,1,48,1,4,1,2,5,1,1,1,NA,NA
281,4,4,2,1,1,4,4,4,1,4,1,4,1,1,4,2,1,26,4,4,4,1,4,1,3,NA,NA,5
282,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,33,3,2,1,4,3,2,3,NA,NA,4
283,5,5,3,5,5,5,5,3,4,4,4,4,3,4,4,2,1,33,1,4,1,4,4,1,1,1,NA,NA
284,3,3,4,4,3,4,3,3,4,3,4,3,2,3,3,1,1,34,4,3,3,2,4,2,1,1,NA,NA
285,2,1,1,1,2,2,1,1,1,1,2,1,1,1,3,2,1,33,2,1,2,2,4,1,3,NA,NA,4
286,2,4,4,4,4,2,2,4,2,3,2,4,2,2,3,2,1,62,4,2,4,4,1,1,1,2,NA,NA
287,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,61,1,1,1,4,4,1,2,NA,7,NA
288,2,1,1,1,1,2,1,1,1,2,2,1,1,4,4,2,1,28,5,2,4,2,1,2,3,NA,NA,5
289,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,78,3,3,3,3,3,4,3,NA,NA,4
290,5,5,3,5,5,5,5,3,5,3,5,5,3,5,5,1,1,38,2,2,2,4,4,1,3,NA,NA,4
291,4,4,2,4,5,4,4,2,1,4,4,5,2,4,5,2,1,36,2,2,2,4,4,2,1,1,NA,NA
292,2,2,3,2,4,3,2,4,3,3,3,2,3,4,4,1,1,49,2,2,3,2,2,2,2,NA,6,NA
293,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,35,2,1,2,4,2,2,2,NA,7,NA
294,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,54,1,1,1,4,4,1,1,1,NA,NA
295,2,4,1,1,2,5,5,1,1,5,2,1,1,1,5,1,1,40,1,1,1,5,4,2,1,2,NA,NA
296,4,3,5,4,3,4,3,4,4,3,4,4,2,3,3,1,1,23,3,5,3,3,4,1,2,NA,7,NA
297,4,5,4,5,4,4,5,4,5,4,4,4,5,4,5,1,1,33,5,5,5,4,4,2,1,1,NA,NA
298,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,1,38,3,5,2,2,4,1,1,1,NA,NA
299,5,4,5,5,5,5,4,4,4,5,4,5,4,4,4,1,1,29,5,4,1,5,5,1,2,NA,7,NA
300,4,5,4,4,5,5,5,4,4,5,5,5,4,4,5,2,1,51,3,3,2,2,3,2,3,NA,NA,4
301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,53,1,1,1,3,1,1,2,NA,7,NA
302,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,2,NA,7,NA
303,5,4,5,4,5,4,3,5,4,3,4,5,4,5,3,1,1,25,4,3,4,4,4,1,1,1,NA,NA
304,4,5,3,4,5,4,3,4,5,4,5,5,4,3,5,1,1,47,3,4,5,3,5,2,2,NA,6,NA
305,4,4,2,2,2,4,4,2,1,2,4,4,2,2,4,2,1,30,2,2,2,4,4,1,2,NA,6,NA
306,1,1,1,1,1,1,1,1,1,3,2,1,1,4,4,1,1,39,4,4,3,4,1,1,2,NA,7,NA
307,4,5,1,1,2,4,1,1,1,2,2,3,1,1,1,2,1,32,4,1,1,1,5,2,2,NA,7,NA
308,3,4,2,2,3,3,4,3,2,4,3,4,3,2,4,1,1,NA,4,4,1,3,4,2,3,NA,NA,5
309,4,5,5,4,5,4,3,4,4,5,5,4,5,4,3,1,1,35,2,1,1,2,1,2,2,NA,7,NA
310,4,3,4,3,4,3,4,2,5,3,4,3,4,5,3,2,1,43,2,3,2,4,3,2,2,NA,6,NA
311,4,5,4,5,4,4,5,4,5,4,4,5,4,5,4,2,1,47,4,5,5,4,3,2,1,1,NA,NA
312,4,5,3,4,5,4,3,2,4,5,4,5,4,3,4,1,1,43,4,5,3,4,4,2,2,NA,7,NA
313,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,1,1,1,4,5,2,2,NA,7,NA
314,3,3,1,3,3,3,3,1,3,3,4,3,1,3,4,1,1,39,2,2,2,2,4,1,1,2,NA,NA
315,5,2,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,33,3,1,2,3,2,2,2,NA,7,NA
316,4,3,4,3,4,5,4,2,4,4,5,4,4,5,4,1,1,32,4,4,4,3,4,2,2,NA,7,NA
317,4,3,5,2,3,4,5,3,4,4,4,5,3,4,5,2,1,32,3,5,4,2,4,1,2,NA,6,NA
318,4,2,5,2,4,4,2,5,2,5,4,4,3,4,5,1,1,57,1,1,1,5,5,1,2,NA,7,NA
319,5,3,4,5,3,4,4,3,5,5,3,5,3,3,4,1,1,29,4,3,5,4,1,1,1,2,NA,NA
320,4,3,4,5,4,4,5,4,4,3,4,3,4,4,3,1,1,25,4,5,3,4,4,1,2,NA,7,NA
321,3,4,3,4,3,3,4,3,3,4,3,4,3,4,3,2,1,49,4,4,4,4,4,1,1,1,NA,NA
322,4,3,3,4,4,4,3,4,4,3,3,4,5,4,3,1,1,39,4,3,4,4,3,2,1,1,NA,NA
323,4,5,5,4,4,5,4,4,5,4,3,4,5,5,4,2,1,38,5,4,4,5,5,2,2,NA,7,NA
324,1,1,1,1,1,2,1,1,1,1,1,2,1,1,4,1,1,56,1,2,4,3,1,1,3,NA,NA,5
325,4,3,4,5,4,3,4,5,3,4,4,5,3,2,4,1,1,31,2,3,2,1,1,1,1,1,NA,NA
326,4,5,4,4,5,5,4,5,4,5,5,4,5,4,5,1,1,50,5,5,4,4,3,1,1,1,NA,NA
327,4,3,5,4,2,4,5,3,5,4,2,5,4,4,5,1,1,53,3,5,3,4,5,2,2,NA,7,NA
328,4,3,3,4,3,4,4,3,3,4,4,4,3,4,3,1,1,32,4,3,4,3,4,2,2,NA,7,NA
329,2,3,3,3,2,2,3,2,3,3,3,3,2,3,3,2,1,31,2,2,2,4,2,2,2,NA,7,NA
330,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,29,1,1,1,4,2,2,2,NA,6,NA
331,5,4,4,3,4,3,4,4,5,4,4,4,5,5,4,1,1,28,4,4,4,4,4,2,2,NA,6,NA
332,3,2,2,3,2,2,2,3,3,2,3,3,3,3,3,2,1,25,2,3,2,4,2,2,2,NA,6,NA
333,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,28,2,3,3,2,3,2,3,NA,NA,5
334,5,4,5,3,4,5,3,4,4,3,5,3,3,4,3,1,1,34,4,3,4,3,4,2,2,NA,7,NA
335,4,4,4,3,4,4,4,4,4,4,4,4,2,4,4,2,1,34,1,1,2,4,4,2,3,NA,NA,4
336,3,1,1,2,1,3,2,2,2,2,3,1,2,3,2,2,1,59,3,1,1,3,3,1,2,NA,6,NA
337,4,5,4,4,5,4,5,4,4,5,4,5,4,5,5,1,1,38,4,5,4,4,4,1,2,NA,7,NA
338,3,4,3,3,4,3,4,4,3,4,3,4,3,4,5,2,1,67,4,3,4,3,3,2,2,NA,7,NA
339,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,35,5,5,5,5,5,2,2,NA,7,NA
340,1,1,1,1,1,4,1,1,1,4,4,2,1,1,5,1,1,34,1,2,2,1,4,1,3,NA,NA,5
341,4,3,4,4,5,4,3,5,4,4,4,5,4,3,4,2,1,31,3,4,2,3,2,1,1,1,NA,NA
342,4,4,3,5,5,4,3,5,4,3,3,4,5,4,4,1,1,43,3,3,3,3,4,1,2,NA,7,NA
343,4,3,4,5,4,4,4,5,4,4,4,5,4,4,5,1,1,28,4,4,5,4,4,1,2,NA,7,NA
344,4,5,3,3,4,3,4,3,4,3,5,4,4,3,5,1,1,33,2,3,4,5,4,2,2,NA,7,NA
345,4,5,4,3,3,3,4,5,4,4,4,4,5,4,3,1,1,25,4,4,4,4,1,2,2,NA,7,NA
346,3,4,4,2,4,4,3,4,4,3,4,3,4,3,4,2,1,47,4,3,4,3,4,2,2,NA,7,NA
347,4,3,4,5,4,4,5,1,4,4,4,3,3,4,4,2,1,45,4,4,4,3,2,1,2,NA,6,NA
348,4,4,3,3,4,5,4,3,4,4,3,4,4,3,4,1,1,30,3,2,2,4,3,1,2,NA,6,NA
349,4,4,4,5,4,4,4,2,4,5,4,4,2,4,5,2,1,40,5,4,2,5,1,1,1,1,NA,NA
350,4,4,4,3,2,4,5,1,4,4,4,4,2,4,4,2,1,36,4,4,4,2,2,2,1,1,NA,NA
351,5,4,4,5,4,4,5,5,4,5,4,4,5,5,5,2,1,50,5,4,5,5,4,2,3,NA,NA,3
352,4,3,4,3,4,2,1,2,2,2,2,3,1,4,4,1,1,35,3,2,4,4,1,2,1,1,NA,NA
353,5,2,4,3,5,4,2,3,5,4,4,2,3,5,4,1,1,24,4,5,3,2,2,2,1,1,NA,NA
354,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,47,2,2,2,2,4,2,1,2,NA,NA
355,4,4,4,4,4,3,4,3,2,4,4,4,3,2,3,1,1,44,2,2,2,4,1,1,2,NA,6,NA
356,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,35,3,3,3,3,3,2,2,NA,6,NA
357,4,5,4,4,4,4,4,4,3,4,3,4,3,3,4,1,1,30,4,4,4,4,4,2,2,NA,7,NA
358,4,3,4,3,4,4,3,4,3,4,4,3,4,3,4,2,1,30,4,4,4,3,3,2,1,1,NA,NA
359,1,2,1,2,2,1,2,2,1,2,1,1,2,2,2,2,1,41,2,2,1,4,2,1,2,NA,7,NA
360,4,5,4,3,2,4,5,4,3,2,3,4,4,5,4,1,1,36,3,4,2,3,4,1,2,NA,7,NA
361,3,4,4,4,4,4,3,4,5,3,4,3,1,4,4,1,1,24,2,1,1,5,1,2,1,1,NA,NA
362,4,3,5,2,4,3,5,4,5,3,3,5,2,4,3,1,1,25,4,3,4,3,2,1,2,NA,7,NA
363,1,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,1,51,2,1,1,2,2,1,2,NA,7,NA
364,4,3,4,5,4,4,4,3,3,5,4,3,3,4,5,1,1,37,3,4,3,4,2,1,2,NA,7,NA
365,5,4,4,4,4,4,5,5,3,3,4,4,5,3,5,1,1,65,5,5,5,3,4,2,2,NA,7,NA
366,5,4,5,5,5,4,5,5,4,5,5,4,5,4,5,1,1,49,4,4,4,5,5,2,1,1,NA,NA
367,4,5,4,5,3,3,4,5,4,3,4,5,4,5,4,2,1,42,3,3,4,3,3,1,2,NA,7,NA
368,5,4,4,3,3,5,4,4,3,3,3,3,4,4,3,1,1,34,3,5,4,4,4,2,2,NA,7,NA
369,2,3,4,3,2,2,3,4,3,3,2,3,4,3,2,1,1,26,5,3,3,2,2,1,1,1,NA,NA
370,5,4,4,4,3,4,4,4,4,5,4,3,5,3,3,1,1,47,4,3,5,3,3,2,1,1,NA,NA
371,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,2,1,67,4,5,5,5,4,1,3,NA,NA,3
372,4,3,5,4,5,5,3,4,3,5,4,3,5,4,5,2,1,27,4,4,3,3,4,2,2,NA,7,NA
373,4,2,4,2,4,4,4,3,4,4,3,5,3,2,1,1,1,30,4,5,5,4,4,2,2,NA,7,NA
374,5,4,4,4,4,2,2,4,4,4,5,5,4,4,5,1,1,27,2,1,1,1,1,1,2,NA,7,NA
375,4,2,3,3,2,2,3,4,4,4,3,2,4,4,2,2,1,28,4,4,5,5,2,2,2,NA,7,NA
376,3,2,3,4,3,3,4,3,4,4,3,4,3,4,3,2,1,44,3,4,4,4,3,2,2,NA,7,NA
377,4,5,4,5,4,5,5,4,4,5,4,5,4,4,5,2,1,45,4,4,4,5,5,2,1,1,NA,NA
378,3,4,3,3,4,2,4,3,3,4,3,3,3,3,4,2,1,21,3,3,4,4,4,2,1,2,NA,NA
379,3,4,5,4,4,4,3,2,5,5,4,3,3,5,5,1,1,40,5,5,4,3,4,1,2,NA,7,NA
380,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,43,1,1,1,4,5,2,3,NA,NA,4
381,5,4,3,3,4,5,5,3,3,3,4,3,4,4,4,2,1,30,3,4,4,3,5,2,1,1,NA,NA
382,4,1,1,1,4,4,1,1,2,4,4,2,2,2,5,1,1,56,1,1,1,5,2,1,1,2,NA,NA
383,2,2,1,1,4,4,2,1,1,4,4,4,1,2,5,2,1,38,1,1,1,2,5,2,1,2,NA,NA
384,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,58,1,1,1,5,5,1,3,NA,NA,4
385,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,4,4,2,4,2,2,2,NA,7,NA
386,5,3,1,4,4,2,4,4,4,4,4,3,3,2,5,1,1,33,4,4,4,2,3,1,2,NA,7,NA
387,2,5,4,1,5,4,4,5,1,3,5,2,1,2,2,2,1,30,5,5,4,1,1,2,2,NA,7,NA
388,2,1,3,2,5,4,2,3,1,2,3,4,2,3,2,1,1,39,2,4,3,3,4,2,2,NA,7,NA
389,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,49,4,4,3,2,2,1,1,2,NA,NA
390,4,3,5,2,3,5,3,5,3,3,2,4,3,5,4,1,1,30,4,4,3,3,5,2,2,NA,6,NA
391,1,1,1,1,1,4,1,5,1,1,1,1,1,1,5,1,1,43,1,1,2,1,4,2,2,NA,7,NA
392,2,3,4,5,4,2,3,4,5,4,3,2,1,2,3,2,1,31,3,2,2,4,5,1,1,1,NA,NA
393,4,3,4,5,4,4,3,4,5,4,4,3,4,5,5,2,1,43,4,5,3,4,5,2,2,NA,7,NA
394,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,1,36,1,1,2,2,4,1,2,NA,6,NA
395,5,5,4,4,5,5,5,4,3,4,5,5,5,4,5,1,1,39,4,4,4,2,1,1,3,NA,NA,5
396,4,3,5,2,4,4,2,4,3,5,5,3,4,3,5,2,1,36,4,3,4,3,3,1,2,NA,7,NA
397,2,2,2,3,5,2,2,3,2,2,3,2,3,3,5,1,1,45,1,3,3,1,4,2,1,1,NA,NA
398,4,4,4,5,5,4,4,4,4,5,4,5,4,4,4,2,1,53,4,5,4,4,4,1,2,NA,7,NA
399,4,5,4,5,4,5,4,5,5,4,4,5,4,5,4,1,1,32,4,5,4,4,5,2,1,1,NA,NA
400,4,3,4,4,5,3,5,4,3,5,4,4,3,5,4,1,1,30,3,4,5,4,5,2,1,1,NA,NA
401,4,5,4,4,5,5,4,4,5,4,4,5,4,4,5,2,1,32,4,4,5,5,4,2,1,1,NA,NA
402,5,3,4,4,3,4,4,4,3,4,3,4,3,4,3,2,1,36,4,3,3,3,4,2,2,NA,7,NA
403,4,5,4,4,5,4,4,3,4,4,3,4,3,4,5,1,1,34,4,4,4,4,4,2,2,NA,7,NA
404,4,5,4,3,4,4,4,3,4,5,4,4,3,4,3,1,1,28,3,4,4,3,2,1,2,NA,7,NA
405,5,5,5,5,5,5,5,4,4,5,5,5,4,4,4,1,1,53,1,1,1,4,5,1,2,NA,7,NA
406,5,4,5,4,4,5,5,3,3,4,5,4,3,4,4,1,1,35,1,1,1,4,5,2,1,1,NA,NA
407,4,5,4,4,3,4,5,3,4,3,4,5,4,4,5,2,1,39,5,5,5,4,4,2,2,NA,6,NA
408,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,58,1,2,1,4,4,2,1,1,NA,NA
409,5,4,1,4,5,5,5,1,4,2,2,4,5,2,4,2,1,30,4,2,5,5,4,2,2,NA,7,NA
410,4,5,3,1,2,4,5,2,3,1,4,5,3,4,5,2,1,38,5,5,2,4,5,2,2,NA,7,NA
411,4,5,4,5,4,4,5,4,4,5,5,5,4,4,5,1,1,36,4,4,4,5,5,2,1,1,NA,NA
412,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,37,4,4,2,2,2,1,3,NA,NA,5
413,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,27,1,4,1,5,5,1,1,1,NA,NA
414,1,1,3,3,2,3,4,4,1,3,1,4,1,1,3,1,1,31,2,3,1,3,3,4,3,NA,NA,4
415,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,35,4,4,4,4,4,1,2,NA,7,NA
416,5,5,4,3,4,3,4,4,5,3,4,5,3,4,5,2,1,35,5,3,4,4,5,1,2,NA,7,NA
417,4,5,4,4,5,1,2,3,1,2,2,4,4,3,3,1,1,30,2,2,1,5,5,2,2,NA,7,NA
418,3,3,4,2,3,3,3,1,1,4,3,4,3,4,3,1,1,51,1,4,4,4,3,2,2,NA,6,NA
419,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,71,1,3,2,3,5,2,1,1,NA,NA
420,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,2,1,35,4,4,5,5,5,2,2,NA,7,NA
421,4,3,2,3,4,1,3,4,5,4,1,2,4,3,4,1,1,24,2,3,1,4,3,1,2,NA,7,NA
422,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,2,1,35,5,4,4,5,4,2,1,1,NA,NA
423,3,3,4,4,3,3,3,3,2,2,3,2,4,3,3,1,1,57,3,3,4,4,4,2,2,NA,6,NA
424,4,5,5,4,5,4,3,4,5,4,4,5,2,4,5,1,1,30,4,5,3,4,4,1,2,NA,7,NA
425,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,59,1,1,2,4,4,1,3,NA,NA,5
426,5,1,3,4,4,4,3,2,3,2,1,5,2,5,3,2,1,30,3,1,2,1,4,2,2,NA,7,NA
427,2,3,4,4,2,2,3,4,3,4,3,4,2,3,3,1,1,45,3,3,3,3,3,2,2,NA,7,NA
428,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,40,5,4,5,4,4,1,1,1,NA,NA
429,4,4,5,4,5,5,4,4,5,4,4,5,4,4,4,1,1,32,4,5,3,2,1,1,1,1,NA,NA
430,2,4,4,2,2,3,4,4,2,3,3,4,3,2,4,1,1,31,1,1,1,5,5,2,2,NA,7,NA
431,4,3,2,1,2,2,3,4,3,2,1,2,3,4,2,1,1,32,5,5,4,4,4,1,1,1,NA,NA
432,2,2,1,2,1,1,1,1,1,3,2,1,1,1,3,1,1,35,1,2,1,4,2,2,2,NA,7,NA
433,4,4,4,3,3,4,4,4,3,3,4,4,4,3,3,1,1,50,3,4,2,2,3,1,2,NA,7,NA
434,5,4,5,4,5,5,4,5,4,5,5,4,5,4,5,1,1,32,4,5,5,4,5,2,1,1,NA,NA
435,4,3,3,4,4,3,5,3,4,4,3,4,4,3,3,1,1,40,4,3,3,4,3,2,1,1,NA,NA
436,1,1,1,1,1,1,1,4,1,4,4,1,2,1,4,1,1,25,1,1,4,4,4,2,2,NA,6,NA
437,4,4,4,4,4,3,4,5,4,5,4,5,5,4,4,1,1,35,4,4,4,2,5,2,1,1,NA,NA
438,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,1,1,69,1,1,1,4,5,1,2,NA,6,NA
439,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,32,4,2,1,4,1,2,2,NA,7,NA
440,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,2,1,65,5,5,5,4,5,2,1,1,NA,NA
441,3,3,1,1,1,3,3,1,1,3,3,3,1,3,3,1,1,40,1,1,1,5,5,2,1,2,NA,NA
442,4,5,4,4,5,4,5,4,4,5,4,5,4,4,5,2,1,26,1,2,2,5,4,2,2,NA,6,NA
443,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,1,40,3,2,3,2,3,2,2,NA,7,NA
444,2,3,4,3,4,3,3,3,4,2,4,3,3,2,4,1,1,41,1,2,2,1,2,2,1,2,NA,NA
445,3,4,3,3,4,3,2,3,4,5,4,3,2,3,4,2,1,25,5,2,1,1,3,1,2,NA,7,NA
446,4,3,2,4,5,4,3,5,2,4,3,2,5,4,4,1,1,60,3,4,2,2,4,2,2,NA,7,NA
447,2,3,4,2,3,4,4,2,3,4,2,3,2,2,2,1,1,46,3,3,2,2,1,1,2,NA,6,NA
448,2,5,1,4,2,3,2,1,1,2,4,2,1,2,4,2,1,30,1,1,2,4,4,1,1,1,NA,NA
449,3,2,4,2,4,1,4,3,2,4,2,3,2,4,4,2,1,40,2,4,2,3,4,2,2,NA,6,NA
450,3,4,4,3,3,3,2,2,4,4,3,4,2,4,2,1,1,35,5,2,4,4,3,2,1,1,NA,NA
451,3,3,1,3,3,3,3,2,1,4,4,2,1,2,5,2,1,53,1,1,1,5,5,2,1,2,NA,NA
452,3,3,2,3,3,2,3,2,2,4,4,3,4,3,5,1,1,37,3,1,1,2,2,2,3,NA,NA,4
453,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,1,1,47,3,5,4,4,5,1,2,NA,7,NA
454,5,4,4,5,3,5,4,5,4,5,3,4,5,4,3,2,1,53,4,2,3,5,4,1,2,NA,7,NA
455,3,4,5,5,4,5,4,5,4,5,4,5,4,5,4,2,1,36,4,5,4,5,4,2,1,1,NA,NA
456,5,4,3,5,2,5,5,2,4,5,2,5,3,4,3,2,1,30,4,4,5,5,3,1,2,NA,6,NA
457,4,4,4,4,3,3,4,4,4,4,3,4,3,4,4,1,1,26,4,2,1,3,4,1,2,NA,6,NA
458,1,2,3,3,3,1,3,4,4,2,2,3,4,4,1,1,1,45,2,4,4,4,2,2,2,NA,7,NA
459,2,1,1,2,2,1,1,5,1,4,3,1,1,1,4,1,1,51,3,2,1,2,2,2,3,NA,NA,5
